DocDateInDoc	DocType	CompanyCode	PosDateInDoc	FiscalPeriod	CurrentKey	RefDocNum	DocHeadT	PosKeyInNextLine	AccMatNextLine	AmountDocCur	ValDate	AssignNum	ItemText	PosKeyInNextLine2	AccMatNextLine2	AmountDocCur2	BaseDateDueCal	ItemText2
03/02/2020	DZ	3000	03/02/2020	03	PHP	Off-us Check	SBC	40	11231151	547253.78	03/02/2020	MALOLOS	1000147510	15	1320000017	547253.78	03/02/2020	1000147510
03/05/2020	DZ	3000	03/05/2020	03	PHP	Off-us Check	SBC	40	11231151	581316.00	03/05/2020	MALOLOS	1000147751	15	1320000017	581316.00	03/05/2020	1000147751
03/06/2020	DZ	3000	03/06/2020	03	PHP	OverTCnt	BDO	40	11231041	1,329,459.96	03/06/2020	Anco	P.O. 043	15	1300001037	1,329,459.96	03/06/2020	P.O. 043
03/09/2020	DZ	3000	03/09/2020	03	PHP	Remittance Local	Metrobank	40	11231061	555360.00	03/09/2020	Bless E.	1000148188	15	1320000386	555360.00	03/09/2020	1000148188
03/09/2020	DZ	3000	03/09/2020	03	PHP	Remittance Local	Metrobank	40	11231061	137370.16	03/09/2020	CALUMPANG	1000148193	15	1320000260	137370.16	03/09/2020	1000148193
03/09/2020	DZ	3000	03/09/2020	03	PHP	Remittance Local	Metrobank	40	11231061	1500000.00	03/09/2020	CALUMPANG	1000148234/148288	15	1320000260	1500000.00	03/09/2020	1000148234/148288
03/10/2020	DZ	3000	03/10/2020	03	PHP	OverTCnt	BDO	40	11231041	553017.86	03/10/2020	Third Child	P.O. 2020-00001	15	1300001000	553017.86	03/10/2020	P.O. 2020-00001
03/10/2020	DZ	3000	03/10/2020	03	PHP	Off-us Check	SBC	40	11231151	696670.60	03/10/2020	MALOLOS	1000148243	15	1320000017	696670.60	03/10/2020	1000148243
03/10/2020	DZ	3000	03/10/2020	03	PHP	Off-us Check	SBC	40	11231151	755617.04	03/10/2020	Jayr Salinas	1000147446	15	1320000037	755617.04	03/10/2020	1000147446
03/10/2020	DZ	3000	03/10/2020	03	PHP	Over-the-counter	BPI	40	11231021	644752.00	03/10/2020	JM Cruz	1000148189	15	1320000009	644752.00	03/10/2020	1000148189
03/17/2020	DZ	3000	03/17/2020	03	PHP	Remittance Local	MBTC	40	11231061	480400.00	03/17/2020	1000148543	BALAGTAS 10001485431000148543	15	1320000275	480400.00	03/17/2020	BALAGTAS 10001485431000148543
